aruco_ids,fruit_id,x,y,ma,MA,angle,perimeter,coff,calyx_MA,calyx_ma,calyx_MA_rel,calyx_ma_rel,area,maMAratio,KPIN,gt_weight
488,-477,1640.313965,1130.811768,47.44156267,49.21973465,36.19819641,151.8480567,5.540071874,47.44156267,49.21973465,0.217454669,0.052880461,1833.95272,0.963872784,7145,79.8
5,-479,886.835144,1096.127808,47.81506223,60.20681823,61.06398773,170.2390638,23.14905754,47.81506223,60.20681823,0.768104329,0.052606621,2260.998547,0.794180188,7145,81.69
488,-477,1635.514648,1072.55835,48.00000963,49.43656836,26.85458183,153.0613363,5.082478208,48.00000963,49.43656836,0.178298457,0.103163011,1863.715094,0.970941374,7145,79.8
5,-479,881.5147095,1038.591919,48.20733327,60.67156135,63.80209732,171.5873614,23.434691,48.20733327,60.67156135,0.771863363,0.032912826,2297.143684,0.794562266,7145,81.69
116,-476,3126.358154,1019.925598,46.25652072,64.44342427,126.2451935,175.0624096,19.044774,46.25652072,64.44342427,0.58309629,0.138396331,2341.21584,0.71778496,7145,87.29
116,-476,3125.518555,959.9959717,46.32113578,62.88049797,124.4704285,172.5210396,19.01690745,46.32113578,62.88049797,0.596997923,0.151904171,2287.626155,0.73665345,7145,87.29
488,-477,1632.527466,1014.086182,48.84663626,49.11964927,25.8130722,153.8853802,4.747393636,48.84663626,49.11964927,0.146065005,0.12295425,1884.429094,0.994441878,7145,79.8
5,-479,876.3317261,983.3937378,48.42339809,60.35392135,66.2519455,171.3812556,22.71483991,48.42339809,60.35392135,0.752338394,0.044770908,2295.359088,0.802323975,7145,81.69
5,-479,879.251709,923.074707,48.68829941,59.25172319,69.30697632,169.9579976,22.7445779,48.68829941,59.25172319,0.767726451,0.013862634,2265.768175,0.821719552,7145,81.69
488,-477,1635.159424,952.9197998,48.90585258,49.1577996,108.0125732,154.0382788,4.006025191,48.90585258,49.1577996,0.141595613,0.082393289,1888.178945,0.99487473,7145,79.8
116,-476,3131.011963,904.0932007,46.2637904,62.35088893,121.7009201,171.5485046,18.73434439,46.2637904,62.35088893,0.587382535,0.166725559,2265.550476,0.741990871,7145,87.29
5,-479,869.5181885,864.8004761,48.22992224,60.00348543,72.86289978,170.5159496,22.34344574,48.22992224,60.00348543,0.744700932,0.014535803,2272.913568,0.803785345,7145,81.69
488,-477,1627.656372,893.8063354,48.82849807,49.88522477,134.8202362,155.0635956,3.984175101,48.82849807,49.88522477,0.117799178,0.107532274,1913.089026,0.97881684,7145,79.8
116,-476,3126.450439,850.4250488,46.93592709,62.27239587,122.4676437,172.3908527,18.24979751,46.93592709,62.27239587,0.579555006,0.126413457,2295.571673,0.753719629,7145,87.29
5,-479,871.6824951,807.3052979,49.03709858,58.6514519,75.62358856,169.4940257,21.84938944,49.03709858,58.6514519,0.744622006,0.025076615,2258.881324,0.836076465,7145,81.69
488,-477,1630.159424,833.5003662,48.1767891,50.17892203,140.6715393,154.5127948,4.253221072,48.1767891,50.17892203,0.13970539,0.098505663,1898.668129,0.960100121,7145,79.8
116,-476,3131.536377,791.7766724,47.01648695,62.05059763,122.6740036,172.136952,17.41030385,47.01648695,62.05059763,0.556716176,0.104452297,2291.321476,0.757712073,7145,87.29
5,-479,867.2755127,747.4771729,48.4816407,59.45331379,81.77291107,169.9820824,22.61805095,48.4816407,59.45331379,0.758516254,0.086132254,2263.827109,0.815457333,7145,81.69
488,-477,1626.996704,772.0194702,48.41048919,50.85282339,137.2784576,155.946046,4.933100983,48.41048919,50.85282339,0.183662361,0.062232341,1933.501098,0.951972496,7145,79.8
116,-476,3130.157227,733.6291504,47.47388542,62.02440718,121.2321777,172.7596491,17.38464535,47.47388542,62.02440718,0.555843769,0.083519335,2312.635994,0.765406516,7145,87.29
5,-479,863.6367798,686.5975952,48.58807405,59.0661363,84.03746033,169.5035648,22.09112051,48.58807405,59.0661363,0.744166078,0.088487562,2254.021889,0.822604577,7145,81.69
116,-476,3132.175537,673.3798218,47.12667854,60.78399705,118.6609116,170.1851495,17.08324078,47.12667854,60.78399705,0.557186067,0.112455591,2249.810651,0.775313912,7145,87.29
488,-477,1625.466064,708.7374268,48.05951486,51.20335886,139.9373322,155.9608615,5.220189194,48.05951486,51.20335886,0.200068914,0.039919493,1932.714544,0.938600825,7145,79.8
5,-479,869.1000366,621.7766113,49.09809251,59.04888461,89.74638367,170.2366161,22.67574926,49.09809251,59.04888461,0.759470333,0.149197725,2277.016616,0.831482133,7145,81.69
488,-477,1630.21167,642.1021118,47.69171402,51.60385303,146.2771759,156.0336462,5.939673824,47.69171402,51.60385303,0.226239002,0.044072349,1932.924728,0.924189013,7145,79.8
116,-476,3139.859863,610.1188354,47.79821432,60.54371822,119.5967789,170.7724328,16.56040286,47.79821432,60.54371822,0.546047036,0.047003912,2272.849309,0.789482637,7145,87.29
5,-479,860.9265137,555.8601074,48.30089254,60.01275492,91.6973877,170.6363552,22.27672626,48.30089254,60.01275492,0.73768685,0.093073565,2276.609801,0.80484378,7145,81.69
488,-477,1623.446045,574.7142334,47.28218935,52.03850839,146.6699829,156.1020463,6.959798978,47.28218935,52.03850839,0.265144929,0.036369526,1932.467946,0.908600012,7145,79.8
116,-476,3133.243408,549.0200195,48.05414154,59.73056775,118.1401672,169.8049229,16.96263605,48.05414154,59.73056775,0.56687178,0.060235997,2254.329257,0.804515064,7145,87.29
5,-479,864.1832275,493.1561279,48.1183349,59.18054593,95.09622192,168.9928523,22.70738468,48.1183349,59.18054593,0.761786093,0.116927429,2236.55426,0.813076901,7145,81.69
116,-476,3142.031982,486.2105103,48.16105591,59.17727511,115.6303558,169.0509357,15.55980307,48.16105591,59.17727511,0.523570094,0.056123701,2238.416225,0.813843757,7145,87.29
488,-477,1627.698486,508.8083191,47.10001732,52.77107009,153.4461975,157.0036211,7.807587615,47.10001732,52.77107009,0.289624089,0.054492875,1952.12152,0.892534816,7145,79.8
5,-479,860.0302734,430.9802246,47.49667863,59.47723092,99.43939209,168.561547,22.07750402,47.49667863,59.47723092,0.734509407,0.1576714,2218.726974,0.798569098,7145,81.69
488,-477,1624.850708,442.9571533,46.86286012,54.01100012,152.4303741,158.6512665,8.004238893,46.86286012,54.01100012,0.294117889,0.030501461,1987.929101,0.867653997,7145,79.8
116,-476,3140.219971,423.2619629,48.50356902,59.17053817,114.0416489,169.5493303,15.66612309,48.50356902,59.17053817,0.528796294,0.030325089,2254.078813,0.819724993,7145,87.29
5,-479,859.5661011,355.3592224,47.16336923,60.31887403,102.5955048,169.4656279,22.23163651,47.16336923,60.31887403,0.724491718,0.177578399,2234.333154,0.78190069,7145,81.69
488,-477,1623.610107,366.249939,46.85663845,54.39801393,153.9085693,159.2710823,8.665803789,46.85663845,54.39801393,0.317400815,0.023892403,2001.907718,0.861366713,7145,79.8
116,-476,3138.112061,352.3972778,48.59008169,58.64688958,110.3778381,168.8180143,15.46880054,48.59008169,58.64688958,0.527015821,0.026813287,2238.115496,0.82851933,7145,87.29
110,-588,1260.30957,1011.97467,47.28047141,50.1961498,5.220132351,153.1501687,9.130648579,47.28047141,50.1961498,0.354131459,0.107163179,1863.983596,0.941914302,7145,75.34
5,-479,855.9980469,289.9931641,47.16787206,60.31808567,103.8243179,169.4709312,22.28123087,47.16787206,60.31808567,0.729110518,0.146796661,2234.517267,0.781985561,7145,81.69
488,-477,1621.656982,297.7213135,46.82551502,54.7034355,153.9484406,159.7214382,9.804067966,46.82551502,54.7034355,0.358442982,0.007562256,2011.810387,0.855988561,7145,79.8
116,-476,3138.113525,285.9316711,48.83917919,58.15737555,106.44767,168.3886256,15.41387419,48.83917919,58.15737555,0.529685087,0.009762099,2230.812338,0.839776189,7145,87.29
110,-588,1257.730591,946.090332,47.06991575,49.74306202,1.069774747,152.1024562,8.232973614,47.06991575,49.74306202,0.322867664,0.083585861,1838.932625,0.946260922,7145,75.34
5,-479,852.2711792,226.0887451,46.80050871,60.42185898,107.3294449,169.1047278,22.82695982,46.80050871,60.42185898,0.744487453,0.153209417,2220.9283,0.774562542,7145,81.69
488,-477,1618.6521,230.8259125,46.84313974,54.90919921,153.1223602,160.0833941,10.46264476,46.84313974,54.90919921,0.380645309,0.029668392,2020.137768,0.853101856,7145,79.8
116,-476,3138.360352,223.432785,49.42120151,57.69619058,105.4782867,168.510735,15.14303993,49.42120151,57.69619058,0.524899946,0.007766817,2239.496152,0.856576509,7145,87.29
110,-588,1253.383057,882.3491821,47.89105262,48.99081307,11.02554512,152.1865813,7.540502612,47.89105262,48.99081307,0.289889264,0.110911545,1842.718141,0.9775517,7145,75.34
5,-479,849.7147217,153.7053833,47.41314955,60.72104369,110.2369766,170.5005583,23.23238781,47.41314955,60.72104369,0.749878211,0.182251448,2261.142404,0.78083555,7145,81.69
110,-588,1251.085083,810.0598755,47.98161313,49.1026692,169.7866821,152.5047176,6.251223018,47.98161313,49.1026692,0.254357265,0.011892378,1850.417926,0.977169142,7145,75.34
116,-476,3138.074707,153.5589142,49.04814979,57.25729922,102.0898361,167.2332451,15.37795232,49.04814979,57.25729922,0.537107779,0.006686011,2205.68439,0.856627023,7145,87.29
488,-477,1617.119751,156.5243225,47.62388959,56.3059781,155.8878784,163.5375971,11.92121531,47.62388959,56.3059781,0.423397728,0.01218695,2106.052781,0.845805209,7145,79.8
5,-479,845.1344604,81.79060364,47.37498369,61.48833788,112.0023422,171.7213819,22.97385897,47.37498369,61.48833788,0.734813679,0.182762812,2287.871922,0.770471041,7145,81.69
110,-588,1246.224976,737.3712158,47.93954995,48.4857039,157.1421967,151.4656493,5.535838107,47.93954995,48.4857039,0.226598718,0.031229913,1825.566001,0.988735774,7145,75.34
488,-477,1613.943237,82.81079102,47.37365214,56.38450689,155.3342896,163.2903851,13.04761108,47.37365214,56.38450689,0.462786938,0.029728539,2097.908462,0.840189172,7145,79.8
116,-464,3135.986816,85.50791931,49.38688848,57.40260461,94.54353333,167.9809008,15.19518914,49.38688848,57.40260461,0.529323492,0.028447044,2226.553553,0.860359714,7145,87.29
109,-610,1643.909546,1013.449463,50.02448546,55.5751636,43.95968628,165.9901356,15.36001783,50.02448546,55.5751636,0.477069511,0.302278385,2183.500328,0.900123045,7145,88.54
110,-588,1244.904297,664.8184814,47.78663108,48.34052616,156.4536896,150.9974388,4.335691524,47.78663108,48.34052616,0.179222966,0.014379259,1814.294018,0.988541807,7145,75.34
109,-610,1640.993408,949.423645,50.01328579,55.4583287,50.44545746,165.7848323,15.81904285,50.01328579,55.4583287,0.510521787,0.275456777,2178.422163,0.9018174,7145,88.54
110,-588,1240.817261,596.7014771,47.78043626,48.64457313,144.8887482,151.4670917,3.241323101,47.78043626,48.64457313,0.132861272,0.017223298,1825.468692,0.982235698,7145,75.34
109,-610,1640.635986,882.0013428,50.41398816,54.65653014,53.7141037,165.1116626,15.81705946,50.41398816,54.65653014,0.506052272,0.304795296,2164.128246,0.922378132,7145,88.54
110,-588,1239.629639,525.7253418,47.73041253,48.84183145,174.6536102,151.7003492,2.605665803,47.73041253,48.84183145,0.073505869,0.076939816,1830.952214,0.977244528,7145,75.34
109,-610,1639.325317,811.5217896,50.43817459,54.55666829,61.42113876,164.9889604,15.82865002,50.43817459,54.55666829,0.517056813,0.281937702,2161.210568,0.924509802,7145,88.54
109,-610,1636.362671,746.8607788,50.5851478,54.30979044,61.27355194,164.8205245,15.41267032,50.5851478,54.30979044,0.492326302,0.295104783,2157.699851,0.931418578,7145,88.54
371,-657,1174.051758,1018.183105,50.68667568,58.80303401,63.66276169,172.2223852,18.69274756,50.68667568,58.80303401,0.635549847,0.023048866,2340.903034,0.861973817,7145,93.03
371,-657,1165.421997,959.0337524,50.65008372,58.87939024,66.07106018,172.2913848,18.93748869,50.65008372,58.87939024,0.643090052,0.008478712,2342.250567,0.860234515,7145,93.03
110,-588,1227.307983,315.5543213,47.427764,48.4317912,134.9936676,150.5799669,1.977362481,47.427764,48.4317912,0.002370186,0.083369677,1804.068663,0.979269253,7145,75.34
100,-669,2523.591064,986.6803589,49.04568116,55.67506642,141.3761749,164.6598132,12.37635794,49.04568116,55.67506642,0.442160243,0.043313892,2144.625155,0.880927214,7145,100.95
110,-588,1229.248413,243.499527,47.56653579,48.25599223,141.093811,150.5196231,2.869859173,47.56653579,48.25599223,0.043983716,0.113343293,1802.779682,0.985712522,7145,75.34
289,-683,2115.603516,1055.852417,50.53829751,57.66169288,34.96321869,170.1443622,15.28832944,50.53829751,57.66169288,0.529039139,0.019146123,2288.747472,0.876462258,7145,96.53
371,-657,1166.924683,891.1962891,50.71134306,58.57455372,70.42965698,171.8881324,18.122993,50.71134306,58.57455372,0.617716791,0.041474749,2332.942219,0.865757224,7145,93.03
100,-669,2517.537109,916.1126099,49.4723639,55.08611997,136.5172424,164.3584645,11.65813637,49.4723639,55.08611997,0.420712143,0.049899711,2140.398941,0.898091278,7145,100.95
371,-657,1161.666748,823.0953369,50.8956735,58.71070181,72.44030762,172.3881804,17.7654573,50.8956735,58.71070181,0.605164552,0.013050203,2346.864518,0.866889203,7145,93.03
109,-610,1626.501709,549.3093872,50.94478994,54.32245419,82.04756165,165.3959629,15.5826778,50.94478994,54.32245419,0.535528992,0.215605329,2173.547019,0.93782195,7145,88.54
289,-683,2109.824951,985.6478882,50.81288173,58.19175935,40.6461792,171.4202993,14.03212556,50.81288173,58.19175935,0.482031989,0.024904512,2322.336749,0.873197207,7145,96.53
110,-588,1225.269043,171.39151,47.6347568,48.51087836,147.983429,151.0283457,3.39225478,47.6347568,48.51087836,0.077275587,0.120211968,1814.901133,0.981939689,7145,75.34
292,-694,3300.874268,1058.238892,48.23088916,61.7610317,94.06243134,173.4291122,22.23399983,48.23088916,61.7610317,0.718494169,0.046814182,2339.535782,0.780927518,7145,78.32
371,-657,1163.793823,745.6619873,51.97322316,57.83900161,75.5591507,172.6157053,17.80842706,51.97322316,57.83900161,0.615717111,0.020210461,2360.969191,0.898584376,7145,93.03
100,-669,2516.894043,834.0949097,49.10105722,54.10242282,133.0967407,162.2068407,11.65408453,49.10105722,54.10242282,0.421756502,0.078552223,2086.39935,0.907557456,7145,100.95
289,-683,2110.449219,904.1503906,51.18462369,57.79309608,44.20258331,171.339209,13.11718688,51.18462369,57.79309608,0.453891841,0.010039101,2323.300346,0.885652909,7145,96.53
109,-610,1627.200562,471.2424316,51.20496178,54.02166101,92.10166931,165.3192023,15.81162147,51.20496178,54.02166101,0.562623674,0.170874982,2172.550404,0.947859818,7145,88.54
110,-588,1225.706421,90.55480957,47.3613083,49.06967222,149.5848541,151.4853153,4.570999893,47.3613083,49.06967222,0.126519393,0.14480316,1825.268374,0.965184933,7145,75.34
100,-669,2522.137695,775.9008789,49.38036553,53.85214085,137.4899292,162.233319,11.07054557,49.38036553,53.85214085,0.383008388,0.158126905,2088.560955,0.916961977,7145,100.95
292,-694,3312.471436,998.9863892,48.28460082,61.78701034,92.31053162,173.5511352,22.60414733,48.28460082,61.78701034,0.730757097,0.063564116,2343.126353,0.781468476,7145,78.32
371,-657,1163.02124,689.5247803,51.21597473,57.36942051,80.65153503,170.7025059,17.77536378,51.21597473,57.36942051,0.619680762,0.020190305,2307.681067,0.89273997,7145,93.03
289,-683,2114.009033,846.4487915,50.80728681,56.86791542,48.97172546,169.2698,12.40436035,50.80728681,56.86791542,0.435468911,0.039783147,2269.254439,0.893426222,7145,96.53
109,-610,1629.609497,414.2988281,51.69669082,54.2058931,97.00566101,166.3747373,16.64488224,51.69669082,54.2058931,0.600063004,0.146457378,2200.894017,0.953709788,7145,88.54
292,-694,3315.210938,925.4783325,48.07191821,62.02431809,89.55282593,173.6338228,22.44621319,48.07191821,62.02431809,0.721959249,0.069606681,2341.765113,0.775049524,7145,78.32
100,-669,2522.295898,703.4463501,49.53900471,53.11404036,132.6447296,161.2959231,10.74958103,49.53900471,53.11404036,0.374781272,0.160975495,2066.55276,0.932691325,7145,100.95
371,-657,1160.153931,618.2840576,50.90026489,57.14185923,88.12950134,169.8537995,17.92478879,50.90026489,57.14185923,0.625895938,0.051860733,2284.358653,0.890770191,7145,93.03
289,-683,2113.426514,774.1945801,50.64950775,56.09996701,51.80366898,167.7909856,12.12137614,50.64950775,56.09996701,0.431590349,0.026297518,2231.658391,0.902843806,7145,96.53
109,-610,1627.706299,342.5292664,51.05871684,54.37611902,107.6122589,165.6576449,17.07999486,51.05871684,54.37611902,0.626499249,0.057654964,2180.559719,0.93899156,7145,88.54
292,-694,3326.050293,854.7979736,48.0413323,61.48996353,88.16098022,172.7004213,22.7924541,48.0413323,61.48996353,0.739121785,0.090761363,2320.113119,0.781287377,7145,78.32
100,-669,2528.522705,635.3972778,49.53633246,52.83393988,115.1521072,160.8445647,10.23782551,49.53633246,52.83393988,0.378184816,0.094245303,2055.543768,0.937585434,7145,100.95
371,-657,1162.541626,552.8960571,50.99622738,57.61064129,96.57913208,170.7574994,18.12585068,50.99622738,57.61064129,0.620854193,0.107047674,2307.441184,0.885187636,7145,93.03
289,-683,2118.039307,706.5354004,50.41068371,55.59240031,56.7086792,166.6087391,11.28174876,50.41068371,55.59240031,0.405587296,0.020657082,2201.039797,0.906790918,7145,96.53
109,-610,1631.131348,276.2531433,50.9433531,54.99149089,118.1820908,166.4628173,17.24346355,50.9433531,54.99149089,0.627108554,0.001815609,2200.254421,0.926386106,7145,88.54
95,-706,3474.85791,1067.168457,56.06685565,71.5489586,104.1893005,201.1967225,21.78313148,56.06685565,71.5489586,0.595257796,0.145099039,3150.644472,0.783615258,7145,132.03
292,-694,3326.988281,775.8945313,47.93926319,61.97916201,86.38451385,173.3644127,22.02963301,47.93926319,61.97916201,0.703300547,0.122110249,2333.602795,0.773473884,7145,78.32
100,-669,2529.406494,558.3842163,49.71379498,53.05599766,102.6740341,161.4730991,9.554041439,49.71379498,53.05599766,0.359037231,0.031291713,2071.577969,0.937006129,7145,100.95
289,-683,2118.956055,629.8145142,50.15284489,54.88667973,56.04964828,165.0794887,10.63736033,50.15284489,54.88667973,0.386459443,0.033444011,2161.983695,0.913752574,7145,96.53
371,-657,1163.86499,477.7281494,50.71110816,56.84315536,100.6472168,169.0831613,17.95347142,50.71110816,56.84315536,0.621836832,0.114023789,2263.972566,0.892123385,7145,93.03
95,-706,3475.672852,991.3735962,55.94350877,71.52177665,100.2164001,200.9703651,21.28019106,55.94350877,71.52177665,0.582133993,0.144027215,3142.518748,0.782188466,7145,132.03
109,-610,1632.661011,201.039856,51.07640783,55.07715171,126.9637833,166.8048383,17.46767412,51.07640783,55.07715171,0.631174839,0.059943159,2209.437395,0.927361097,7145,88.54
292,-694,3327.533691,684.4311523,47.77487355,61.47359559,81.66291046,172.2822934,21.67188159,47.77487355,61.47359559,0.7028071,0.065288799,2306.630569,0.777160878,7145,78.32
100,-669,2531.371094,471.0078735,49.96085982,53.07691142,95.52515411,161.8883607,10.12601661,49.96085982,53.07691142,0.380799628,0.01965886,2082.69382,0.941291768,7145,100.95
289,-683,2121.599365,543.2297974,50.44648742,54.79598867,62.32220459,165.3850931,9.801115475,50.44648742,54.79598867,0.357094098,0.022845008,2171.048774,0.920623729,7145,96.53
371,-657,1169.435425,395.0855713,50.68198259,57.90040118,102.5056152,170.7493067,18.23773444,50.68198259,57.90040118,0.626862628,0.05982688,2304.756506,0.875330422,7145,93.03
109,-610,1636.126221,118.2260818,51.53999714,55.92857311,137.4128723,168.8816189,18.63458117,51.53999714,55.92857311,0.646690887,0.168116939,2263.95615,0.921532488,7145,88.54
95,-706,3475.367188,901.8731689,56.3929048,71.12445096,96.87316132,200.9726767,21.38467521,56.3929048,71.12445096,0.58899492,0.147498573,3150.164797,0.792876487,7145,132.03
289,-683,2119.526855,468.1002197,50.7855274,54.69676503,66.64744568,165.7481543,9.764387689,50.7855274,54.69676503,0.354546939,0.052400719,2181.682206,0.928492341,7145,96.53
292,-694,3324.438965,606.1607056,48.44002332,61.58812647,79.92588043,173.4493611,21.91768457,48.44002332,61.58812647,0.708955108,0.05842989,2343.102125,0.786515618,7145,78.32
100,-669,2528.809814,395.822113,50.16730234,53.10125418,90.59400177,162.2466048,10.63067013,50.16730234,53.10125418,0.396640388,0.057228939,2092.258824,0.944747975,7145,100.95
371,-657,1168.008423,322.2954407,50.20825882,58.12076761,107.9584503,170.3898695,17.90872115,50.20825882,58.12076761,0.610634093,0.094724577,2291.903793,0.863860903,7145,93.03
95,-706,3472.973633,826.7228394,56.59808468,70.61504953,93.50525665,200.432892,21.05237277,56.59808468,70.61504953,0.583319652,0.138349483,3138.982425,0.801501735,7145,132.03
292,-694,3325.511719,526.6551514,48.25158853,62.05290486,76.94283295,173.9446797,22.56644624,48.25158853,62.05290486,0.725469029,0.071856399,2351.600879,0.777587909,7145,78.32
100,-669,2529.16333,319.2617493,50.22194662,53.51196779,73.42727661,162.985831,10.06110751,50.22194662,53.51196779,0.375563598,0.020565405,2110.738078,0.938518031,7145,100.95
289,-683,2118.993896,392.000061,50.70769708,54.83973327,66.40829468,165.8570464,9.161307431,50.70769708,54.83973327,0.32336964,0.100424565,2184.032529,0.924652511,7145,96.53
371,-657,1166.200195,248.6608887,50.05166052,58.1807145,113.45327,170.250865,18.11285541,50.05166052,58.1807145,0.612350107,0.122902539,2287.111945,0.860279234,7145,93.03
95,-706,3473.988525,749.9367676,56.27518951,71.19695811,89.67268372,200.9193082,21.34998292,56.27518951,71.19695811,0.585614005,0.159784962,3146.793804,0.790415644,7145,132.03
286,-730,3503.548584,1104.324829,49.3043466,66.26203599,114.7225418,182.5097189,24.31358913,49.3043466,66.26203599,0.72741642,0.110061565,2565.900818,0.744081371,7145,104.39
100,-669,2528.0896,247.1195831,50.18771473,53.99117771,70.68505096,163.6983565,11.09539378,50.18771473,53.99117771,0.409149752,0.034087018,2128.188553,0.929553991,7145,100.95
292,-694,3326.123291,451.0042419,48.30659523,61.94294364,74.73479462,173.8425426,22.56024583,48.30659523,61.94294364,0.725535018,0.06644284,2350.10978,0.779856306,7145,78.32
289,-683,2117.057129,319.889679,50.5062836,54.36630812,75.64286041,164.7892794,9.102678173,50.5062836,54.36630812,0.324900599,0.081132023,2156.577832,0.928999694,7145,96.53
371,-657,1162.167725,180.9962158,50.1452059,59.83417585,114.9481888,173.0905715,18.43944083,50.1452059,59.83417585,0.612724539,0.071054027,2356.506346,0.838069635,7145,93.03
95,-706,3475.538818,677.0653076,56.29530971,71.29664537,85.14295197,201.1141961,22.49150955,56.29530971,71.29664537,0.61994738,0.142840341,3152.32648,0.789592686,7145,132.03
286,-730,3498.215576,1032.604858,49.84967779,66.78220668,112.818924,184.171564,24.5264112,49.84967779,66.78220668,0.729404302,0.117951753,2614.64663,0.746451492,7145,104.39
100,-669,2523.837402,169.7737274,50.35759187,54.24102433,64.90565491,164.3597464,11.38597908,50.35759187,54.24102433,0.41744331,0.060953635,2145.273745,0.928404146,7145,100.95
292,-694,3321.409668,371.9397278,48.32094318,61.99073431,71.63825226,173.9430327,23.14076258,48.32094318,61.99073431,0.745155701,0.074384439,2352.621518,0.779486543,7145,78.32
289,-683,2113.006348,242.0115509,51.35580146,54.63756008,86.68976593,166.5338873,9.817012926,51.35580146,54.63756008,0.353450175,0.067908428,2203.792443,0.93993585,7145,96.53
371,-657,1158.190796,103.6821976,50.115484,60.01488829,117.7715149,173.3419995,19.70348656,50.115484,60.01488829,0.652447332,0.091597703,2362.222558,0.835050859,7145,93.03
95,-706,3470.96582,601.3245239,56.40536729,71.88555113,80.64215088,202.2530993,22.00905284,56.40536729,71.88555113,0.604661047,0.117634836,3184.578213,0.784655141,7145,132.03
286,-730,3494.752197,951.2700806,50.26569609,66.69033201,109.3474579,184.6210112,24.34784441,50.26569609,66.69033201,0.724057204,0.108688814,2632.839967,0.753717886,7145,104.39
100,-669,2519.95459,87.05897522,50.87021117,54.22880214,45.98801422,165.1312946,12.7071071,50.87021117,54.22880214,0.464921653,0.063332331,2166.623419,0.938066289,7145,100.95
292,-694,3316.941406,284.2972412,48.59468349,62.2018178,67.89709473,174.6956038,23.51097666,48.59468349,62.2018178,0.753556196,0.065379661,2374.005474,0.781242176,7145,78.32
289,-683,2109.801514,159.5461426,51.4975029,53.9030452,98.50005341,165.5843542,10.00355705,51.4975029,53.9030452,0.370244816,0.025551931,2180.164949,0.955372794,7145,96.53
95,-706,3466.727295,516.6156006,56.93061456,72.01276021,76.66345215,203.2371397,22.37510049,56.93061456,72.01276021,0.612214481,0.121688741,3219.920958,0.790562872,7145,132.03
286,-730,3491.572754,878.9634399,49.77263597,65.78029028,106.0261307,182.381991,24.61416307,49.77263597,65.78029028,0.744830085,0.099296131,2571.439488,0.756649686,7145,104.39
409,-752,3239.367188,1099.425293,51.32714558,58.05005483,115.3723221,171.9716165,17.61481731,51.32714558,58.05005483,0.602784607,0.077479087,2340.128083,0.884187719,7145,87.04
95,-706,3462.465088,440.3706665,56.1425472,71.67081441,74.24578094,201.5102925,22.49063816,56.1425472,71.67081441,0.620127063,0.120188229,3160.271056,0.783339043,7145,132.03
289,-683,2105.659668,83.24959564,51.64400634,54.18721911,108.7518997,166.2633011,10.21456452,51.64400634,54.18721911,0.376225802,0.0286642,2197.893632,0.953066188,7145,96.53
292,-694,3312.717285,205.390686,48.43494914,61.89268684,64.71582031,173.9474896,23.75419512,48.43494914,61.89268684,0.766918304,0.052261291,2354.442376,0.782563363,7145,78.32
417,-740,3521.645508,972.885437,48.95282974,61.30451876,107.470726,173.7356466,24.70704179,48.95282974,61.30451876,0.784369503,0.215269592,2357.003191,0.79851911,7145,86.49
286,-730,3486.531738,797.8867798,50.0045966,65.19932047,102.2446671,181.7497537,24.57712106,50.0045966,65.19932047,0.750354424,0.082402963,2560.606708,0.766949659,7145,104.39
409,-752,3234.330566,1014.242615,51.41002792,57.99881784,109.1863174,172.0148668,17.52189999,51.41002792,57.99881784,0.602653654,0.043535858,2341.838075,0.886397858,7145,87.04
27,-746,1304.99646,936.3206177,47.70952012,57.93238183,60.89401627,166.3306191,19.49325753,47.70952012,57.93238183,0.657774,0.177869011,2170.782511,0.823538039,7145,83.18
95,-706,3457.347412,356.0535583,56.52499585,71.9262574,69.47860718,202.49657,23.39556837,56.52499585,71.9262574,0.642759453,0.120082122,3193.139435,0.785874281,7145,132.03
417,-740,3516.200928,890.7911987,49.69198329,61.54384426,104.5350189,175.225075,24.48436842,49.69198329,61.54384426,0.772943261,0.227048869,2401.932687,0.807424104,7145,86.49
286,-730,3480.720947,718.883667,50.31992182,65.23725724,98.59359741,182.273797,24.34491818,50.31992182,65.23725724,0.743136749,0.085907454,2578.253006,0.771337177,7145,104.39
409,-752,3229.576416,931.3659058,51.00219604,57.3359413,103.2042389,170.3225911,17.51332332,51.00219604,57.3359413,0.609865241,0.028508494,2296.707584,0.889532724,7145,87.04
370,-777,3169.547852,999.0559692,44.78984241,56.97193683,114.9102325,160.4202323,18.04659784,44.78984241,56.97193683,0.626636627,0.113218933,2004.150816,0.786173771,7145,78.49
27,-746,1299.240601,860.4078369,48.05587553,57.45477078,64.4593811,166.0646878,19.38405026,48.05587553,57.45477078,0.65627344,0.176021821,2168.515206,0.836412275,7145,83.18
95,-706,3451.013428,273.2556458,56.32765246,72.90634933,67.52940369,203.8363434,23.88746575,56.32765246,72.90634933,0.649340155,0.109634844,3225.350269,0.772602839,7145,132.03
417,-740,3512.727295,812.4512329,50.13331679,60.69369216,98.15638733,174.4820431,24.65488838,50.13331679,60.69369216,0.802568284,0.13779825,2389.790757,0.826005389,7145,86.49
286,-730,3477.655029,643.5319824,50.58573549,64.73277626,94.80238342,181.8240781,24.2895152,50.58573549,64.73277626,0.747476049,0.081076645,2571.829559,0.78145475,7145,104.39
409,-752,3226.211914,851.2163696,50.74374842,56.84089784,96.56842804,169.1292892,16.25548677,50.74374842,56.84089784,0.571854436,0.021756912,2265.339804,0.892733056,7145,87.04
